cost_function,Building_1,District
all_time_peak_average,,1.606
annual_normalized_unserved_energy_total,0.0016,0.0016
carbon_emissions_total,1.3378,1.3378
cost_total,1.2496,1.2496
daily_one_minus_load_factor_average,,1.1868
daily_peak_average,,1.7917
discomfort_cold_delta_average,4.4857,4.4857
discomfort_cold_delta_maximum,15.5932,15.5932
discomfort_cold_delta_minimum,0.0,0.0
discomfort_cold_proportion,0.6003,0.6003
discomfort_hot_delta_average,0.8218,0.8218
discomfort_hot_delta_maximum,10.4458,10.4458
discomfort_hot_delta_minimum,0.0,0.0
discomfort_hot_proportion,0.1809,0.1809
discomfort_proportion,0.7812,0.7812
electricity_consumption_total,1.3889,1.3889
monthly_one_minus_load_factor_average,,1.0473
one_minus_thermal_resilience_proportion,0.8,0.8
power_outage_normalized_unserved_energy_total,0.4461,0.4461
ramping_average,,1.6053
zero_net_energy,1.2084,1.2084
