cost_function,Building_1,District
all_time_peak_average,,0.9589
annual_normalized_unserved_energy_total,0.012,0.012
carbon_emissions_total,0.8091,0.8091
cost_total,0.7753,0.7753
daily_one_minus_load_factor_average,,1.0092
daily_peak_average,,0.8516
discomfort_cold_delta_average,0.9475,0.9475
discomfort_cold_delta_maximum,5.0069,5.0069
discomfort_cold_delta_minimum,0.0,0.0
discomfort_cold_proportion,0.1978,0.1978
discomfort_hot_delta_average,0.6216,0.6216
discomfort_hot_delta_maximum,5.8509,5.8509
discomfort_hot_delta_minimum,0.0,0.0
discomfort_hot_proportion,0.122,0.122
discomfort_proportion,0.3198,0.3198
electricity_consumption_total,0.8192,0.8192
monthly_one_minus_load_factor_average,,1.0279
one_minus_thermal_resilience_proportion,0.6,0.6
power_outage_normalized_unserved_energy_total,0.5985,0.5985
ramping_average,,0.8304
zero_net_energy,0.8158,0.8158
