cost_function,Building_1,District
all_time_peak_average,,0.9223
annual_normalized_unserved_energy_total,0.0181,0.0181
carbon_emissions_total,0.663,0.663
cost_total,0.6327,0.6327
daily_one_minus_load_factor_average,,1.0766
daily_peak_average,,0.8151
discomfort_cold_delta_average,0.2226,0.2226
discomfort_cold_delta_maximum,4.1754,4.1754
discomfort_cold_delta_minimum,0.0,0.0
discomfort_cold_proportion,0.0351,0.0351
discomfort_hot_delta_average,1.673,1.673
discomfort_hot_delta_maximum,8.4177,8.4177
discomfort_hot_delta_minimum,0.0,0.0
discomfort_hot_proportion,0.3801,0.3801
discomfort_proportion,0.4151,0.4151
electricity_consumption_total,0.6706,0.6706
monthly_one_minus_load_factor_average,,1.0539
one_minus_thermal_resilience_proportion,0.4,0.4
power_outage_normalized_unserved_energy_total,0.611,0.611
ramping_average,,0.8297
zero_net_energy,0.6571,0.6571
